,status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,personal_status,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,credit
0,0,1,0,0,5,0,0,4,1,0,4,0,6,0,0,2,0,1,0,0,1
1,1,6,1,0,31,1,1,2,0,0,2,0,2,0,0,1,0,1,1,0,0
2,2,1,0,1,10,1,2,2,1,0,3,0,4,0,0,1,1,2,1,0,1
3,0,5,1,2,42,1,2,2,1,1,4,1,4,0,1,1,0,2,1,0,1
4,0,3,2,3,25,1,1,3,1,0,4,2,5,0,1,2,0,2,1,0,0
5,2,4,1,1,48,0,1,2,1,0,4,2,3,0,1,1,1,2,0,0,1
6,2,3,1,2,14,2,0,3,1,0,4,1,5,0,0,1,0,1,1,0,1
7,1,4,1,4,37,1,1,2,1,0,2,3,3,0,2,1,2,1,0,0,1
8,2,1,1,0,16,3,2,2,1,0,4,0,6,0,0,1,1,1,1,0,1
9,1,4,0,3,27,1,3,4,1,0,2,3,2,0,0,2,2,1,1,0,0
10,1,1,1,3,6,1,4,3,0,0,1,3,2,0,2,1,0,1,1,0,0
11,0,6,1,5,22,1,4,3,0,0,4,1,2,0,2,1,0,1,1,0,0
12,1,1,1,0,8,1,1,1,0,0,1,3,2,0,0,1,0,1,0,0,1
13,0,3,0,3,6,1,0,4,1,0,4,3,6,0,0,2,1,1,1,0,0
14,0,2,1,3,7,1,1,2,0,0,4,3,2,0,2,1,0,1,1,0,1
15,0,3,1,0,6,4,1,4,0,0,2,3,3,0,0,1,1,1,1,0,0
16,2,3,0,0,12,0,0,4,1,0,4,1,5,0,0,2,0,1,1,0,1
17,0,4,3,5,43,0,4,2,1,0,3,3,2,1,0,3,0,1,1,0,1
18,1,3,1,4,67,1,0,4,0,0,2,2,4,0,1,1,2,1,0,0,0
19,2,3,1,0,18,2,0,3,1,0,2,3,3,0,0,1,0,2,0,0,1
20,2,1,0,3,11,1,1,4,1,0,4,3,4,0,0,3,0,1,0,0,1
21,0,1,1,0,13,2,1,2,1,0,3,0,4,0,2,1,0,2,1,0,1
22,0,1,0,3,11,1,4,1,1,0,3,0,4,0,2,2,1,2,1,1,1
23,1,1,0,4,9,4,4,3,1,0,4,1,4,0,0,1,0,1,1,0,1
24,2,1,0,2,10,0,1,2,1,0,1,3,2,0,0,2,0,1,1,1,1
25,0,1,1,2,7,1,1,1,1,0,2,0,3,1,0,1,1,1,0,0,1
26,2,1,3,0,1,1,0,4,1,0,4,3,3,0,0,1,1,1,1,0,1
27,3,1,4,0,1,3,1,3,0,0,3,0,4,0,2,2,0,1,1,0,1
28,1,1,1,0,12,1,1,3,1,1,2,0,3,0,0,1,0,1,1,0,1
29,0,7,2,5,36,1,0,3,1,0,4,2,6,0,0,2,0,1,0,0,0
30,1,2,1,5,9,3,4,3,1,0,3,0,3,1,0,1,0,1,0,0,1
31,0,3,1,2,21,1,1,2,1,0,2,3,2,2,0,1,0,1,1,0,1
32,1,2,1,3,31,4,1,2,1,0,2,3,3,0,0,2,0,1,0,0,1
33,2,1,0,5,6,0,0,4,1,0,4,2,5,0,2,1,1,1,1,0,1
34,3,1,1,2,7,1,4,4,0,0,1,1,3,1,0,1,2,1,0,0,1
35,1,5,0,0,25,1,4,4,1,0,2,1,2,0,0,2,1,1,1,0,0
36,2,6,0,1,32,1,1,1,1,0,3,2,3,1,1,1,0,1,0,0,1
37,3,2,1,0,10,1,1,4,1,2,2,0,3,2,0,1,0,1,1,0,0
38,3,1,1,6,6,1,1,2,1,0,2,3,3,0,0,1,0,1,0,0,1
39,1,1,1,0,2,1,1,4,1,0,3,0,2,0,0,1,0,1,1,0,1
40,2,4,1,0,12,2,0,4,1,0,2,3,3,1,0,1,2,1,1,0,1
41,1,1,1,0,5,2,1,3,1,0,1,3,2,0,0,1,0,1,0,0,1
42,1,2,2,7,33,1,1,2,1,0,4,0,4,0,0,1,1,2,0,0,1
43,0,4,0,4,33,4,2,1,1,0,4,3,2,0,2,2,0,1,1,0,1
44,0,6,0,4,32,1,0,4,0,0,4,2,5,2,1,2,1,1,1,0,0
45,2,1,0,3,7,1,4,4,0,0,4,3,3,0,0,2,2,1,1,0,1
46,2,4,1,0,12,2,0,4,1,0,4,3,3,0,0,1,0,1,1,0,1
47,0,1,1,4,6,2,3,1,0,0,2,1,2,0,2,1,3,1,0,0,1
48,2,1,0,3,38,1,1,1,1,0,4,1,3,0,0,2,1,1,1,0,1
49,2,1,1,0,10,4,1,4,0,2,2,0,2,0,0,1,0,1,1,0,1
50,1,3,2,2,12,0,4,4,1,0,2,1,2,1,0,1,1,1,1,0,1
51,1,3,2,4,31,1,0,1,1,0,2,3,3,0,0,2,2,1,0,0,1
52,2,1,1,0,6,1,1,3,1,0,2,3,2,0,0,1,0,1,1,0,1
53,2,2,1,4,17,0,1,2,1,0,1,1,3,0,0,1,0,1,0,0,1
54,1,4,2,3,11,1,0,4,1,0,4,2,5,1,1,2,0,1,0,0,0
55,2,1,4,3,3,0,1,1,1,1,2,0,2,2,0,1,1,2,1,0,1
56,1,1,1,0,34,0,3,2,1,0,1,2,5,0,0,1,2,1,0,0,0
57,2,4,0,0,51,1,1,2,0,0,2,3,3,2,0,2,0,1,1,0,1
58,3,2,1,3,10,1,0,3,0,0,2,3,2,0,0,1,2,1,1,0,1
59,0,4,0,2,33,1,4,4,0,2,4,2,2,0,2,2,1,1,0,0,0
60,1,1,1,5,7,1,1,2,1,0,1,0,2,1,0,1,0,1,0,0,1
61,1,2,0,0,7,0,0,4,1,1,4,0,5,0,0,2,0,1,0,0,1
62,1,4,3,5,10,1,0,4,1,0,4,2,6,0,1,1,2,1,0,0,0
63,1,6,3,5,77,1,1,2,1,0,2,3,2,0,0,1,0,1,0,0,0
64,2,3,1,0,16,1,4,4,0,0,4,1,2,0,0,1,0,1,0,0,1
65,2,3,1,7,27,0,0,4,1,0,4,1,4,0,0,4,0,2,0,0,1
66,2,1,1,0,11,1,4,2,0,0,2,3,2,1,0,1,0,1,1,0,1
67,1,1,1,3,5,3,1,4,1,0,1,0,2,0,0,1,0,1,1,0,1
68,2,4,1,1,9,1,1,4,1,0,4,2,3,2,1,1,0,1,0,0,0
69,2,4,1,0,12,0,1,4,0,0,4,3,2,0,0,1,0,1,1,0,1
70,2,4,1,4,43,1,1,1,0,0,2,1,3,1,0,1,0,1,1,0,1
71,2,1,0,0,3,0,0,4,1,0,2,1,4,0,2,2,1,1,0,0,1
72,0,1,0,8,5,1,0,3,1,0,4,2,5,1,1,2,2,2,0,0,1
73,1,5,0,5,31,1,2,2,0,0,1,0,4,1,0,2,1,1,1,0,1
74,0,4,1,1,10,0,0,4,1,0,4,2,4,0,0,1,2,1,0,0,0
75,0,1,0,4,7,1,0,4,1,0,4,2,6,0,1,2,2,1,1,0,1
76,0,5,1,0,21,1,4,4,1,0,3,3,3,0,0,1,0,1,1,0,0
77,1,1,2,0,25,1,2,2,1,0,4,1,5,0,0,1,0,1,1,0,1
78,2,6,3,4,50,0,1,2,1,0,2,1,3,0,0,1,1,2,1,0,1
79,1,4,1,2,20,1,4,2,1,0,1,1,2,0,0,1,0,1,1,0,1
80,2,3,1,0,31,0,4,1,0,0,1,3,4,0,0,2,0,1,0,0,0
81,2,2,1,0,6,2,0,4,1,0,3,1,4,2,0,1,0,1,0,0,1
82,2,2,1,5,8,4,1,3,0,0,4,1,2,0,2,1,1,1,1,0,1
83,0,3,1,8,9,1,0,4,0,1,4,0,5,0,0,1,1,1,0,0,1
84,0,1,1,0,12,1,0,3,1,0,4,0,5,0,0,1,1,1,1,0,1
85,2,1,0,5,7,1,1,4,0,1,2,0,2,0,0,2,2,1,0,0,1
86,1,2,0,2,6,1,4,4,0,0,1,1,2,0,0,2,0,1,1,0,1
87,1,4,1,1,67,4,1,1,1,0,4,2,4,0,1,1,0,2,0,0,0
88,0,2,1,3,11,4,2,4,1,0,3,3,3,0,0,1,2,2,0,0,1
89,0,1,3,7,5,1,2,4,1,0,3,0,2,0,0,2,0,1,1,0,0
90,2,1,0,0,2,1,0,4,1,0,4,0,5,0,0,1,0,1,1,0,1
91,0,1,0,4,7,1,0,4,1,0,3,0,5,0,0,1,0,1,1,0,1
92,2,1,0,0,3,0,0,4,0,0,3,1,3,1,0,1,1,2,1,0,0
93,3,3,0,2,19,0,0,4,1,2,4,2,2,0,2,2,0,1,1,0,1
94,1,1,1,3,6,3,0,4,1,0,4,0,5,0,0,1,0,1,0,0,1
95,1,6,3,5,85,1,4,3,1,0,4,2,5,0,2,1,0,1,0,0,0
96,2,1,0,1,10,0,2,4,0,0,2,3,6,0,0,1,0,1,1,0,1
97,1,2,1,5,13,4,1,4,1,0,4,3,3,0,0,1,0,1,1,0,1
98,1,4,0,0,12,1,0,4,1,0,4,0,3,0,0,1,0,1,1,0,1
99,1,2,2,4,37,0,2,3,1,0,4,1,3,1,2,2,2,2,0,0,1
100,2,3,1,3,7,4,0,4,1,0,4,0,4,0,2,1,1,1,1,0,1
101,1,4,1,0,12,1,2,4,1,0,4,3,2,0,2,1,0,1,1,0,1
102,2,1,2,0,4,1,1,3,0,0,2,0,2,0,0,1,0,1,1,0,1
103,1,1,0,2,9,1,2,4,1,0,3,3,3,0,2,1,0,1,0,0,1
104,2,1,1,4,12,0,4,2,1,0,4,3,2,0,2,1,0,1,0,0,1
105,1,3,0,8,64,1,1,2,1,2,3,3,3,0,0,2,2,2,0,0,0
106,2,2,4,3,34,1,0,2,1,0,4,2,3,1,0,2,2,2,0,0,0
107,1,1,1,3,32,1,2,2,1,0,2,3,3,0,0,1,0,1,1,0,1
108,0,3,1,2,41,0,4,1,0,0,2,1,3,0,0,1,0,1,0,1,1
109,1,2,1,5,7,2,0,1,1,0,2,0,3,0,0,1,0,1,0,0,1
110,1,1,2,5,7,4,0,1,1,0,2,3,3,1,0,2,0,2,1,0,1
111,3,2,1,1,1,1,4,4,0,0,4,1,2,0,2,1,0,1,0,0,1
112,1,2,1,3,33,1,2,3,1,0,3,0,2,0,2,1,1,1,1,0,1
113,2,4,0,3,42,1,1,4,0,0,2,0,2,2,0,2,0,1,0,0,0
114,0,1,1,0,8,2,0,3,1,0,1,0,3,0,0,1,0,1,1,0,1
115,2,6,0,0,18,0,0,4,1,0,1,0,4,0,0,1,0,1,0,0,1
116,0,5,1,0,38,0,2,4,0,0,3,3,3,0,0,1,2,1,0,0,0
117,0,1,0,2,11,0,4,2,0,2,3,0,2,0,2,2,0,1,1,1,1
118,0,4,0,2,22,2,1,1,0,0,4,3,2,0,0,2,0,1,1,0,0
119,1,1,0,3,12,2,2,3,1,0,3,3,3,0,0,1,2,1,0,0,1
120,0,3,1,0,9,1,1,3,0,0,2,0,2,0,0,2,0,1,0,0,0
121,2,3,0,4,20,1,0,4,0,0,2,3,4,0,2,2,2,1,0,0,1
122,2,1,1,2,9,1,1,3,1,0,2,0,2,0,2,1,1,1,1,0,1
123,3,1,0,3,3,1,0,4,1,0,4,2,6,0,1,2,0,1,0,0,1
124,1,2,1,2,10,0,4,4,0,0,3,0,2,0,2,1,0,1,1,0,0
125,0,1,0,3,11,1,1,4,1,0,2,1,3,0,0,2,0,1,1,0,1
126,0,1,1,0,3,1,1,4,1,0,2,0,4,0,0,1,1,1,1,0,1
127,1,1,1,7,3,1,1,4,1,0,2,3,3,0,0,1,0,1,1,0,0
128,1,1,0,4,9,1,3,4,1,0,2,3,3,0,0,2,2,1,0,0,1
129,0,1,0,3,18,1,1,3,0,2,2,0,2,0,0,2,0,1,1,0,0
130,1,6,1,3,45,0,2,1,0,0,2,3,2,0,0,1,0,1,1,0,1
131,0,4,2,1,36,1,1,4,1,0,3,1,2,2,0,1,0,1,0,0,0
132,2,2,1,2,14,1,4,2,1,0,3,1,2,1,0,2,1,1,1,0,1
133,2,2,1,2,10,1,1,4,1,0,4,2,4,1,1,2,0,1,1,0,1
134,2,7,1,0,54,4,2,2,0,0,4,0,2,0,0,1,0,1,0,0,1
135,2,1,0,0,6,0,0,4,0,0,2,0,3,0,0,2,0,1,0,0,1
136,2,3,2,4,46,3,1,2,1,0,2,3,2,0,0,2,0,1,1,0,1
137,1,1,1,0,3,2,1,4,1,0,3,0,6,0,0,1,1,1,1,0,0
138,1,2,0,0,14,0,2,4,1,1,2,0,3,1,0,3,0,1,0,0,1
139,3,1,1,0,9,1,1,2,0,0,2,3,4,0,2,1,1,1,0,0,1
140,3,1,1,3,3,3,4,2,1,0,2,0,2,0,0,1,3,1,1,1,1
141,1,4,1,0,25,1,4,4,0,0,1,2,3,0,0,1,2,1,0,0,1
142,0,3,1,0,18,1,1,3,1,0,2,3,2,0,0,1,2,1,1,0,1
143,0,2,1,2,12,1,1,2,1,0,2,3,2,0,0,1,0,1,1,0,0
144,2,3,0,2,11,1,4,4,0,0,4,1,2,0,0,1,0,1,0,0,1
145,1,6,4,5,18,4,2,4,1,0,2,3,3,0,0,1,0,1,1,0,1
146,0,1,0,3,4,1,0,1,0,0,4,2,3,0,0,2,0,1,0,0,1
147,2,1,0,3,3,4,2,4,0,0,3,3,5,0,0,2,0,1,0,0,1
148,0,4,0,2,28,1,1,3,1,1,2,1,2,0,0,2,0,1,1,0,1
149,2,2,0,0,8,3,0,4,1,0,4,3,4,0,0,2,0,1,1,0,1
150,2,1,1,0,6,4,0,2,1,0,4,2,4,1,1,1,0,2,0,0,1
151,2,1,1,0,10,1,1,1,1,0,4,1,3,0,0,1,0,1,0,1,1
152,3,4,1,0,31,1,1,4,1,0,1,3,2,0,0,1,0,1,1,0,1
153,1,3,0,4,41,3,0,2,0,0,4,2,2,0,2,1,0,1,1,0,1
154,1,3,2,5,37,4,2,4,1,0,4,3,3,0,2,1,2,1,0,0,1
155,0,1,1,2,6,1,1,2,0,0,4,3,2,0,2,1,0,1,1,0,0
156,0,1,0,7,6,4,0,3,1,1,4,0,4,0,0,2,0,2,1,1,1
157,0,1,4,9,1,1,0,4,1,0,1,3,4,1,0,1,1,1,1,0,1
158,1,3,1,3,18,4,2,2,1,0,3,3,3,1,0,2,0,1,0,0,1
159,2,1,0,0,9,0,1,1,1,0,2,0,3,0,0,2,1,2,1,0,1
160,2,3,0,0,15,4,0,3,1,0,4,0,3,0,0,1,0,2,0,0,1
161,2,2,0,3,5,1,4,4,0,0,1,1,3,0,0,2,0,1,1,0,1
162,2,2,1,6,6,2,2,4,1,0,3,1,3,0,0,2,0,1,0,0,1
163,1,1,1,3,39,1,3,2,1,0,4,2,7,1,1,1,2,1,0,0,1
164,2,4,1,3,4,2,0,4,1,0,4,1,3,0,0,1,0,1,1,0,1
165,2,1,1,2,15,2,1,1,1,0,2,3,3,0,0,1,0,1,0,0,1
166,0,2,1,2,5,1,3,4,0,0,2,3,3,0,0,1,0,1,1,0,0
167,1,1,1,2,8,3,4,4,0,0,1,0,2,0,0,1,0,1,1,0,1
168,2,3,1,2,21,1,2,2,0,0,4,1,2,0,2,1,0,1,0,0,1
169,1,3,0,5,10,1,0,4,1,0,4,0,3,0,0,2,0,1,0,0,0
170,0,2,3,3,4,1,0,4,1,0,3,3,3,0,2,2,0,2,1,0,0
171,2,1,1,2,3,1,1,4,0,0,1,0,2,0,0,1,0,1,0,0,1
172,1,3,2,2,10,1,3,3,0,0,2,1,3,0,0,1,2,1,0,0,0
173,1,1,1,0,7,1,1,4,1,1,2,0,3,0,0,1,0,1,1,1,1
174,0,3,2,1,18,1,4,2,1,0,1,1,2,0,0,2,0,1,1,0,0
175,2,4,4,4,40,0,3,4,0,0,1,0,5,1,0,1,2,1,0,0,0
176,0,1,1,2,13,1,1,2,1,0,1,3,4,0,0,1,0,1,1,0,1
177,0,1,0,0,1,2,0,4,1,0,4,3,5,0,0,2,0,1,1,0,1
178,2,1,1,0,10,1,2,4,1,0,2,3,3,0,2,2,2,2,0,0,1
179,0,3,0,3,2,1,0,4,1,0,4,0,6,0,0,2,0,1,1,0,1
180,2,4,2,5,51,1,4,1,1,0,1,3,2,0,0,2,0,1,1,0,0
181,1,4,2,5,23,1,1,2,1,0,2,0,3,2,0,2,2,1,0,0,0
182,0,3,4,3,8,0,1,4,1,0,2,1,4,0,0,2,1,2,1,0,0
183,2,3,0,2,20,3,1,4,1,0,4,0,5,0,0,1,0,1,0,0,1
184,1,2,0,3,4,1,0,4,1,0,4,3,3,1,0,1,0,2,0,0,0
185,2,2,0,0,6,1,1,4,1,0,2,1,3,0,0,2,0,1,1,0,1
186,1,1,4,4,27,1,0,2,0,0,4,2,7,1,1,1,2,2,0,0,0
187,1,2,0,3,5,1,3,2,1,0,3,3,6,0,1,3,3,1,0,0,1
188,0,1,1,0,3,4,2,4,1,0,1,1,2,0,0,1,0,1,1,0,0
189,1,2,3,2,17,1,1,1,0,0,4,3,3,1,0,2,0,1,0,0,1
190,2,3,1,5,24,3,1,2,1,0,3,1,5,0,0,3,2,1,0,0,0
191,1,6,3,5,20,4,2,4,1,0,4,2,3,0,1,1,1,2,1,0,0
192,1,3,1,5,20,1,1,4,1,0,2,3,3,0,0,1,0,2,0,0,0
193,2,1,1,0,11,1,2,2,1,0,2,0,2,0,2,1,0,1,1,0,1
194,1,5,1,0,15,4,1,4,1,1,4,1,2,0,2,1,0,1,1,0,0
195,1,1,0,1,7,1,0,2,0,0,3,3,3,0,0,2,2,1,0,0,0
196,2,1,0,0,7,1,1,1,0,0,1,3,2,0,0,2,0,1,0,0,1
197,1,1,1,2,4,4,4,4,0,0,4,3,2,1,2,4,0,1,1,0,0
198,1,3,1,4,14,0,0,4,1,0,4,2,3,1,1,1,0,1,0,0,1
199,1,2,2,2,22,1,0,4,1,0,3,2,4,0,0,1,2,1,0,0,0
200,2,1,0,1,4,2,0,4,1,0,2,3,5,0,0,2,0,1,0,0,1
201,0,1,1,3,5,1,1,4,1,0,3,0,2,0,0,1,1,1,1,0,1
202,2,3,2,5,27,1,2,3,1,0,4,3,2,0,0,2,0,1,1,0,1
203,0,1,1,9,4,1,2,4,1,0,4,1,2,0,2,1,0,1,1,0,0
204,2,1,0,3,7,1,0,4,1,0,1,0,3,0,0,2,1,2,1,0,1
205,0,4,0,4,56,1,0,3,1,0,4,2,3,0,1,3,2,2,0,0,1
206,2,1,0,2,10,1,0,4,1,0,4,0,4,0,0,3,0,1,0,0,1
207,1,1,0,6,7,1,2,4,1,0,3,1,2,0,0,1,0,1,1,0,1
208,0,3,1,5,35,1,1,2,1,0,2,3,2,2,0,1,1,1,1,0,1
209,2,1,1,4,7,3,2,3,1,0,2,1,5,0,0,1,0,1,1,1,1
210,2,1,0,0,16,0,1,1,1,0,2,0,3,0,0,2,0,2,1,0,1
211,2,4,1,0,20,0,0,2,0,0,4,0,4,0,0,1,1,1,0,0,1
212,0,3,3,5,28,1,3,2,1,0,4,1,5,2,0,2,0,1,0,0,0
213,3,4,2,5,9,1,0,4,1,0,4,0,6,0,0,1,2,1,0,0,0
214,2,4,0,0,17,0,0,4,1,0,2,3,5,0,0,1,0,1,0,0,1
215,1,1,0,9,4,0,2,1,0,0,3,1,3,0,0,2,1,1,1,0,1
216,0,2,3,5,16,1,2,3,1,0,1,1,3,1,0,1,0,1,0,0,1
217,3,4,1,0,20,1,1,2,1,0,2,0,2,0,0,1,0,1,0,0,1
218,0,3,1,2,15,1,1,2,1,0,2,0,2,0,2,1,1,1,1,0,1
219,2,1,1,3,7,1,1,2,0,0,4,3,6,0,0,1,0,1,0,0,1
220,1,1,1,0,3,1,4,4,1,1,1,0,2,1,0,1,1,1,1,0,1
221,0,1,1,1,6,0,1,4,0,0,4,1,2,1,2,1,0,1,0,0,1
222,2,1,1,0,3,1,1,4,1,0,2,0,3,1,0,2,0,1,1,0,1
223,2,3,2,5,15,0,1,4,1,0,4,0,3,0,0,2,0,2,0,0,1
224,2,2,1,4,24,1,1,3,1,0,2,3,3,0,0,1,0,1,0,0,1
225,2,4,3,7,13,1,1,4,1,0,2,3,2,0,0,2,0,1,1,0,1
226,1,6,1,0,58,3,2,1,1,2,2,2,2,1,0,2,0,1,0,0,0
227,0,1,1,2,42,1,0,4,1,0,4,2,5,0,1,1,2,1,0,0,0
228,2,1,1,0,7,1,2,4,1,0,2,3,2,0,0,1,0,1,1,0,0
229,0,3,1,2,16,1,4,4,1,0,1,2,2,1,1,1,0,1,1,0,1
230,3,4,1,0,22,1,1,4,1,0,2,3,2,0,0,1,0,1,1,0,0
231,2,1,1,3,13,2,0,2,1,0,4,2,5,0,1,1,1,1,1,0,1
232,2,1,1,0,11,4,2,3,1,0,1,2,3,0,0,1,0,1,1,0,1
233,1,2,1,0,4,1,1,4,1,1,2,0,2,0,0,1,1,1,1,0,1
234,2,1,0,0,7,1,2,2,1,0,1,0,4,0,0,3,1,2,1,0,1
235,0,3,1,0,9,1,3,4,1,0,2,3,3,2,0,1,2,2,1,0,0
236,1,1,1,3,78,0,3,1,1,0,2,1,2,0,0,1,3,1,0,0,0
237,1,3,1,5,14,4,0,4,1,0,2,3,6,1,2,2,1,1,1,0,0
238,2,1,0,0,6,1,1,4,0,0,2,1,3,0,0,2,0,1,1,0,1
239,0,4,1,0,13,1,0,1,1,1,3,1,3,0,0,1,0,2,1,0,1
240,0,3,1,3,4,0,0,4,0,0,2,3,2,1,0,1,0,1,1,0,0
241,2,1,1,0,8,1,2,3,1,0,2,1,5,0,0,1,0,2,1,0,1
242,0,6,3,4,24,1,0,3,1,0,4,2,2,0,1,2,0,2,1,0,0
243,2,1,0,5,6,1,1,3,0,0,2,0,2,0,0,2,0,1,1,0,1
244,2,1,4,9,18,2,1,4,0,0,3,0,3,0,0,1,1,2,1,0,1
245,2,3,1,5,6,1,2,4,1,0,1,0,2,0,0,1,0,1,0,0,1
246,2,1,0,0,3,1,0,4,1,0,4,0,5,0,0,3,0,1,1,0,1
